Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","0,3","1,2","1,3","2,3"
,,,,,,
0.0,P5,P8,P5,P4,P8,P5
16.0,P5,P8,P5,P4,P8,P5
32.0,m7,P8,P8,M2,M2,P1
48.0,M6,M3,M3,P5,P5,P1
64.0,M3,M3,M3,P8,P8,P1
80.0,P4,M2,Rest,M6,Rest,Rest
96.0,Rest,Rest,Rest,P8,P4,-P5
112.0,Rest,Rest,Rest,P8,P4,-P5
128.0,P4,Rest,P8,Rest,P5,Rest
144.0,m7,P5,M2,-m3,M3,P5
160.0,P5,P4,M2,-M2,P5,M6
176.0,Rest,Rest,Rest,-P4,P5,P8
192.0,P8,P4,Rest,-P5,Rest,Rest
208.0,m3,m3,Rest,P1,Rest,Rest
224.0,P4,M6,P8,M3,P5,m3
240.0,P4,P8,P8,P5,P5,P1
256.0,Rest,Rest,Rest,m7,P5,-m3
272.0,P4,P8,m6,P5,m3,-M3
288.0,M3,M3,M6,P8,P4,-P5
304.0,M2,Rest,M6,Rest,P5,Rest
320.0,M3,P5,Rest,m3,Rest,Rest
336.0,P5,M3,P5,-m3,P1,m3
352.0,P1,M3,P5,M3,P5,m3
368.0,-M2,m3,P5,P4,M6,M3
384.0,P5,P8,P5,P4,P8,P5
400.0,M2,P5,M2,P4,P8,P5
416.0,m3,P5,Rest,M3,Rest,Rest
432.0,Rest,Rest,Rest,P5,P5,P1
448.0,Rest,Rest,Rest,P5,P5,P1
464.0,M6,Rest,P8,Rest,m3,Rest
480.0,P4,P8,P8,P5,P5,P1
496.0,P4,m6,P8,m3,P5,M3
512.0,Rest,Rest,Rest,P4,P8,P5
528.0,-P5,P1,Rest,P5,Rest,Rest
544.0,-P4,P5,Rest,P8,Rest,Rest
560.0,-P4,P5,P5,P8,P8,P1
576.0,m3,P5,P5,M3,M3,P8
592.0,Rest,Rest,Rest,P4,M3,M7
608.0,-P5,M2,M6,M6,M3,P5
624.0,-P5,P4,P8,P8,P5,P5
640.0,P1,Rest,P8,Rest,P8,Rest
656.0,P5,P5,Rest,P1,Rest,Rest
672.0,M6,M6,M3,P1,P5,P5
688.0,P5,P8,P5,P4,P8,P5
704.0,-m2,P5,P5,m6,m6,P1
720.0,P4,P8,P8,P5,P5,P1
736.0,P5,P5,P5,P8,P8,P1
752.0,P1,P8,Rest,P8,Rest,Rest
768.0,Rest,Rest,Rest,M3,M6,-P5
784.0,Rest,Rest,Rest,P5,P8,-P5
800.0,-P4,Rest,P5,Rest,P8,Rest
816.0,-m3,M2,M6,P4,P8,P5
832.0,P1,P4,M2,P4,M2,M6
848.0,Rest,Rest,Rest,P5,P5,P8
864.0,M2,P5,Rest,-P5,Rest,Rest
880.0,M6,P4,Rest,-M3,Rest,Rest
896.0,P8,M6,P8,-m3,P1,m3
912.0,m3,P5,P5,M3,M3,P1
928.0,Rest,Rest,Rest,m7,P5,-m3
944.0,M3,M3,P8,P8,m6,-M3
960.0,m3,P5,P8,M3,M6,-P5
976.0,-P4,Rest,P5,Rest,P8,Rest
992.0,-M3,m3,Rest,P5,Rest,Rest
1008.0,P1,P1,m3,P1,m3,m3
1024.0,P5,M3,P5,-m3,P1,m3
1040.0,P5,m3,P5,-M3,P1,M3
1056.0,P5,P8,P5,P4,P8,P5
1072.0,-M3,P4,P8,M6,M3,P5
1088.0,-P4,P5,Rest,P8,Rest,Rest
1104.0,Rest,Rest,Rest,P8,P8,P1
1120.0,Rest,Rest,Rest,P8,P8,P1
1136.0,-P4,Rest,P5,Rest,P8,Rest
1152.0,P1,M6,M6,M6,M6,P1
1168.0,-P4,P4,M6,m7,M2,M3
1184.0,Rest,Rest,Rest,P8,P5,P5
1200.0,P5,P5,Rest,P1,Rest,Rest
1216.0,P4,P8,Rest,P5,Rest,Rest
1232.0,m6,m3,m3,P5,P5,P1
1248.0,-m3,M3,M3,P5,P5,P8
1264.0,P1,P4,M3,P4,M3,M7
1280.0,P4,P5,M2,M2,M6,P5
1296.0,P5,P8,P5,P4,P8,P5
