Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","0,3","1,2","1,3","2,3"
,,,,,,
0.0,P5,P8,P5,P4,P8,P5
36.0,M7,M2,M2,m3,m3,P1
72.0,P4,P8,Rest,P5,Rest,Rest
108.0,Rest,M3,M6,Rest,Rest,-P5
144.0,m7,P5,M2,-m3,M3,P5
180.0,Rest,Rest,Rest,-P4,P5,P8
216.0,M6,M6,P8,P1,m3,m3
252.0,P4,P8,P8,P5,P5,P1
288.0,M3,M3,M6,P8,P4,-P5
324.0,M3,P5,Rest,m3,Rest,Rest
360.0,P1,P4,P8,P4,P8,P5
396.0,M3,M6,M3,P4,P8,P5
432.0,Rest,Rest,Rest,P5,P5,P1
468.0,m6,Rest,m2,Rest,P4,Rest
504.0,M3,M6,M3,P4,P8,P5
540.0,-P5,M3,Rest,M7,Rest,Rest
576.0,m3,P5,P5,M3,M3,P8
612.0,-P5,P1,P5,P5,M2,P5
648.0,P5,M3,Rest,-m3,Rest,Rest
684.0,M6,M6,M3,P1,P5,P5
720.0,P4,P8,P8,P5,P5,P1
756.0,-m3,M6,Rest,P8,Rest,Rest
792.0,-P5,Rest,P5,Rest,M2,Rest
828.0,-M3,m3,P8,P5,M3,M6
864.0,M2,P5,Rest,-P5,Rest,Rest
900.0,M6,P5,m7,-M2,m2,m3
936.0,P8,P5,P8,P5,P1,-P5
972.0,Rest,P5,P8,Rest,Rest,-P5
1008.0,P1,P1,m3,P1,m3,m3
1044.0,P5,m3,P5,-M3,P1,M3
1080.0,-P4,P5,Rest,P8,Rest,Rest
1116.0,Rest,P8,P8,Rest,Rest,P1
1152.0,P1,M6,M6,M6,M6,P1
1188.0,Rest,Rest,Rest,P8,P5,P5
1224.0,P4,P8,P8,P5,P5,P1
1260.0,-M3,M2,M2,A4,A4,P8
1296.0,P5,P8,P5,P4,P8,P5
