Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","0,3","1,2","1,3","2,3"
,,,,,,
0.0,Rest,Rest,Rest,Rest,Rest,P5
18.0,Rest,M6,Rest,Rest,Rest,Rest
36.0,Rest,Rest,Rest,M3,P1,-M3
54.0,Rest,Rest,Rest,P5,P5,P1
72.0,Rest,Rest,Rest,Rest,Rest,m3
90.0,Rest,P8,Rest,Rest,Rest,Rest
108.0,Rest,Rest,Rest,P5,P8,P4
126.0,Rest,Rest,Rest,M3,P5,m3
144.0,Rest,Rest,Rest,Rest,Rest,P8
162.0,Rest,m3,Rest,Rest,Rest,Rest
180.0,Rest,Rest,Rest,P5,M6,M2
198.0,Rest,Rest,Rest,P4,P8,P5
216.0,Rest,Rest,Rest,Rest,Rest,P1
234.0,Rest,P5,P8,Rest,Rest,-P5
252.0,Rest,Rest,Rest,P8,P5,-P4
270.0,P4,P8,P8,P5,P5,P1
288.0,,,Rest,,Rest,Rest
