Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","0,3","1,2","1,3","2,3"
,,,,,,
1524.0,Rest,Rest,Rest,M6,P8,m3
1536.0,Rest,M3,P5,Rest,Rest,m3
1548.0,Rest,Rest,P8,Rest,Rest,Rest
1560.0,M3,M6,M3,P4,P8,P5
1572.0,M3,M6,M3,P4,P8,P5
1584.0,m3,P5,P5,M3,M3,P8
1596.0,P5,P8,P5,P4,P8,P5
1608.0,P5,Rest,P5,Rest,P8,Rest
1620.0,Rest,Rest,Rest,P5,Rest,Rest
1632.0,Rest,P8,M3,Rest,Rest,M3
1644.0,Rest,Rest,Rest,m3,P5,M3
1656.0,Rest,Rest,P8,Rest,Rest,Rest
1668.0,P1,m3,P5,m3,P5,M3
1680.0,m3,d5,m7,m3,P5,M3
1692.0,P4,P4,P8,P1,P5,P5
1704.0,M6,P8,M3,m3,P5,M3
1716.0,P4,Rest,P8,Rest,P5,Rest
1728.0,Rest,Rest,Rest,P5,Rest,Rest
1740.0,Rest,Rest,Rest,P5,P5,P1
1752.0,Rest,P8,P8,Rest,Rest,P1
1764.0,Rest,Rest,P8,Rest,Rest,Rest
1776.0,M6,M3,P8,P5,m3,-M3
1788.0,P8,P5,m3,P5,m3,-M3
1800.0,m6,m3,P8,P5,M3,-m3
1812.0,P5,P5,P8,P8,P4,-P5
1824.0,P4,Rest,P8,Rest,P5,Rest
1836.0,P4,P8,Rest,P5,Rest,Rest
1848.0,P4,m7,P5,P4,M2,-m3
1860.0,P4,P8,M6,P5,M3,-m3
1872.0,P4,P8,P8,P5,P5,P1
