Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","0,3","1,2","1,3","2,3"
,,,,,,
1024.0,P5,M3,P5,-m3,P1,m3
1032.0,P4,P4,P8,P1,P5,P5
1040.0,P5,m3,P5,-M3,P1,M3
1048.0,P5,m3,P5,-M3,P1,M3
1056.0,P5,P8,P5,P4,P8,P5
1064.0,M3,M6,M3,P4,P8,P5
1072.0,-M3,P4,P8,M6,M3,P5
1080.0,-P4,P5,Rest,P8,Rest,Rest
1088.0,-P4,P5,Rest,P8,Rest,Rest
1096.0,Rest,Rest,Rest,M7,Rest,Rest
1104.0,Rest,Rest,Rest,P8,P8,P1
1112.0,Rest,Rest,Rest,m6,m6,P1
1120.0,Rest,Rest,Rest,P8,P8,P1
1128.0,-P5,Rest,P5,Rest,M2,Rest
1136.0,-P4,Rest,P5,Rest,P8,Rest
1144.0,-P4,Rest,P5,Rest,P8,Rest
1152.0,P1,M6,M6,M6,M6,P1
1160.0,-M6,m3,P5,P8,M3,M3
1168.0,-P4,P4,M6,m7,M2,M3
1176.0,-P5,P4,P8,P8,P5,P5
1184.0,Rest,Rest,Rest,P8,P5,P5
1192.0,Rest,M6,M3,Rest,Rest,P5
1200.0,P5,P5,Rest,P1,Rest,Rest
1208.0,P4,M6,Rest,M3,Rest,Rest
1216.0,P4,P8,Rest,P5,Rest,Rest
1224.0,P4,P8,P8,P5,P5,P1
1232.0,m6,m3,m3,P5,P5,P1
1240.0,P5,Rest,M2,Rest,P5,Rest
1248.0,-m3,M3,M3,P5,P5,P8
1256.0,-P5,P1,P8,P5,P5,P8
1264.0,P1,P4,Rest,P4,Rest,Rest
1272.0,M2,M6,M3,P5,M2,P5
1280.0,P4,P5,M2,M2,M6,P5
1288.0,M6,P8,M3,m3,P5,M3
1296.0,P5,P8,P5,P4,P8,P5
1304.0,Rest,Rest,Rest,Rest,Rest,Rest
