Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,P1,P5,P5
8.0,-M3,m3,P5
16.0,-P5,P1,P5
24.0,-M3,m3,P5
32.0,-M3,m3,P5
40.0,P1,P4,P4
48.0,P1,P5,P5
56.0,M3,P5,m3
64.0,P5,P5,P1
72.0,M3,P5,m3
80.0,M3,P5,m3
88.0,P1,P4,P4
96.0,M2,M6,P5
104.0,P1,P4,P4
112.0,-m3,M3,P5
120.0,-P5,P1,P5
128.0,-P5,P1,P5
136.0,Rest,Rest,M6
144.0,-P4,P5,P8
152.0,-m3,M3,P5
160.0,P1,P5,P5
168.0,P4,P8,P5
176.0,P4,P8,P5
184.0,Rest,Rest,Rest
192.0,-P4,P5,P8
200.0,-M3,m7,M2
208.0,P1,P8,P8
216.0,P4,P8,P5
224.0,P4,P8,P5
232.0,Rest,Rest,Rest
240.0,-P4,P5,P8
248.0,P1,m6,m6
256.0,P4,P8,P5
264.0,-P4,P5,P8
272.0,-P4,P5,P8
280.0,-P5,P5,M2
288.0,-P4,P5,P8
296.0,-P4,P5,P8
304.0,-P4,P5,P8
312.0,-P5,P4,P8
320.0,-P5,P4,P8
328.0,-P4,P4,m7
336.0,-P4,P5,P8
344.0,-P4,P5,P8
352.0,-P4,P5,P8
360.0,-P5,Rest,Rest
368.0,-m3,Rest,Rest
376.0,P1,Rest,Rest
384.0,P5,P5,P1
392.0,P1,m3,m3
400.0,-P4,P1,P4
408.0,-M3,m3,P5
416.0,-M3,m3,P5
424.0,M2,P4,m3
432.0,P5,P5,P1
440.0,P5,P5,P1
448.0,P5,P5,P1
456.0,P1,P5,P5
464.0,P1,P5,P5
472.0,-M2,P4,P5
480.0,P1,P5,P5
488.0,P1,P5,P5
496.0,M2,P5,P4
504.0,P5,P5,P1
512.0,m3,P5,M3
520.0,P1,P5,P5
528.0,P4,P8,P5
536.0,P4,P8,P5
544.0,P4,P8,P5
552.0,M2,Rest,Rest
560.0,P4,Rest,Rest
568.0,P1,Rest,Rest
576.0,-P5,P1,P5
584.0,-M3,m3,P5
592.0,-P5,P1,P5
600.0,P1,P5,P5
608.0,P1,P5,P5
616.0,M2,P5,P4
624.0,P1,P5,P5
632.0,M3,P5,m3
640.0,Rest,Rest,M2
648.0,P5,P5,P1
656.0,P5,P5,P1
664.0,Rest,P5,Rest
672.0,P1,P5,P5
680.0,P1,P5,P5
688.0,-M2,P4,P5
696.0,-P5,P1,P5
704.0,-m3,M3,P5
712.0,P1,P5,P5
720.0,-P4,P5,P8
728.0,-P4,P5,P8
736.0,-P4,P5,P8
744.0,-M2,Rest,Rest
752.0,-P5,Rest,Rest
760.0,P1,Rest,Rest
768.0,P1,P5,P5
776.0,M3,P5,m3
784.0,P5,P5,P1
792.0,M3,P5,m3
800.0,M3,P5,m3
808.0,P1,P4,P4
816.0,P1,P5,P5
824.0,-M3,m3,P5
832.0,-P4,M2,P5
840.0,-P5,P1,P5
848.0,-P5,P1,P5
856.0,Rest,Rest,P4
864.0,-M2,P5,M6
872.0,M2,P5,P4
880.0,m3,P5,M3
888.0,P5,P5,P1
896.0,P4,P5,M2
904.0,Rest,P5,Rest
912.0,P4,P8,P5
920.0,P5,M7,M3
928.0,M6,P8,m3
936.0,P4,P8,P5
944.0,P5,M2,P5
952.0,m2,m7,M6
960.0,-P4,P5,P8
968.0,-P4,P5,P8
976.0,P1,P8,P8
984.0,P4,P8,P5
992.0,P4,P8,P5
1000.0,Rest,Rest,Rest
1008.0,P4,P8,P5
1016.0,P1,m6,m6
1024.0,-P4,P5,P8
1032.0,P4,P8,P5
1040.0,P4,P8,P5
1048.0,P4,Rest,Rest
1056.0,P4,P8,P5
1064.0,P4,P8,P5
1072.0,P5,P8,P4
1080.0,P4,P8,P5
1088.0,P4,P8,P5
1096.0,M2,m7,m6
1104.0,P4,P8,P5
1112.0,m3,m6,P4
1120.0,M3,P5,m3
1128.0,P1,P5,P5
