Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,P5,P5,P1
8.0,-P5,-m3,M3
16.0,-M3,m3,P5
24.0,-m3,P1,m3
32.0,-P5,Rest,Rest
40.0,-m3,-m3,P1
48.0,P1,-P4,-P4
56.0,P1,Rest,Rest
64.0,-P5,Rest,Rest
72.0,P1,P1,P1
80.0,Rest,Rest,-m3
88.0,Rest,Rest,-M2
96.0,M3,P1,-M3
104.0,P4,P5,M2
112.0,P1,P1,P1
120.0,m3,d5,m3
128.0,Rest,Rest,Rest
136.0,Rest,Rest,Rest
144.0,P5,P5,P1
152.0,d5,Rest,Rest
160.0,P1,Rest,Rest
168.0,-P5,P1,P5
176.0,-P5,-P5,P1
184.0,-P5,-P5,P1
192.0,-m3,-d5,-m3
200.0,-P5,-P8,-P4
208.0,-P4,-P8,-P5
216.0,-P5,-P5,P1
224.0,Rest,-P4,Rest
232.0,P1,Rest,Rest
240.0,Rest,P1,Rest
248.0,Rest,Rest,Rest
256.0,Rest,Rest,Rest
264.0,P1,P1,P1
272.0,m3,P5,M3
280.0,m3,P5,M3
288.0,P5,P5,P1
296.0,Rest,Rest,Rest
304.0,Rest,Rest,Rest
312.0,-P4,P5,P8
320.0,M2,P5,P4
328.0,P5,P5,P1
336.0,P5,m3,-M3
344.0,P5,P5,P1
352.0,P4,P4,P1
360.0,P1,M3,M3
368.0,-m3,P4,m6
376.0,-m6,P1,m6
384.0,-P4,P5,P8
392.0,Rest,Rest,Rest
400.0,Rest,Rest,Rest
408.0,P5,P5,P1
416.0,Rest,P1,Rest
424.0,Rest,P5,Rest
432.0,P5,P5,P1
440.0,M3,Rest,Rest
448.0,P5,M3,-m3
456.0,P8,P4,-P5
464.0,P5,Rest,Rest
472.0,m7,Rest,Rest
480.0,P8,P4,-P5
488.0,Rest,Rest,-P4
496.0,Rest,Rest,P1
504.0,P8,P5,-P4
512.0,P4,P5,M2
520.0,m7,m7,P1
528.0,m3,d5,m3
536.0,Rest,Rest,Rest
544.0,Rest,Rest,Rest
552.0,P5,P5,P1
560.0,P5,Rest,Rest
568.0,m6,Rest,Rest
576.0,M3,P5,m3
584.0,P5,P5,P1
592.0,P4,P4,P1
600.0,P5,M3,-m3
608.0,m7,P4,-P4
616.0,P8,P4,-P5
624.0,P5,P5,P1
632.0,Rest,P5,Rest
640.0,P5,Rest,Rest
648.0,Rest,P1,Rest
656.0,Rest,Rest,Rest
664.0,Rest,Rest,Rest
672.0,-M3,m3,P5
680.0,P1,P5,P5
688.0,m2,P4,M3
696.0,P5,P5,P1
704.0,Rest,Rest,Rest
712.0,Rest,Rest,Rest
720.0,P4,P8,P5
728.0,P5,P5,P1
736.0,P8,P5,-P4
744.0,P5,m3,-M3
752.0,P4,P5,M2
760.0,m7,m7,P1
768.0,P5,M7,M3
776.0,M6,P8,m3
784.0,M3,P5,m3
792.0,P4,P8,P5
800.0,Rest,Rest,Rest
808.0,Rest,Rest,Rest
816.0,P1,P1,P1
824.0,Rest,-P4,Rest
832.0,Rest,P1,Rest
840.0,P1,P1,P1
848.0,-P5,Rest,Rest
856.0,-P5,-m3,M3
864.0,-P5,-P5,P1
872.0,-P5,Rest,Rest
880.0,P1,Rest,Rest
888.0,P1,P1,P1
896.0,Rest,Rest,P1
904.0,Rest,Rest,m3
912.0,P1,P1,P1
920.0,P5,P5,P1
928.0,m7,m7,P1
936.0,m3,d5,m3
944.0,Rest,Rest,Rest
952.0,Rest,Rest,Rest
960.0,-P5,P1,P5
968.0,P1,Rest,Rest
976.0,-m3,Rest,Rest
984.0,-P5,P1,P5
992.0,-P5,P1,P5
1000.0,-M7,-M3,P5
1008.0,-P5,-m3,M3
1016.0,-P5,-P5,P1
1024.0,M3,-m3,-P5
1032.0,-P5,-P5,P1
1040.0,Rest,-P4,Rest
1048.0,P1,Rest,Rest
1056.0,Rest,P1,Rest
1064.0,Rest,Rest,Rest
1072.0,Rest,Rest,Rest
1080.0,P1,m3,m3
1088.0,m3,P5,M3
1096.0,m2,P4,M3
1104.0,P5,P5,P1
1112.0,Rest,Rest,Rest
1120.0,Rest,Rest,Rest
1128.0,-P4,P5,P8
1136.0,M2,P5,P4
1144.0,P5,P5,P1
1152.0,M7,P5,-M3
1160.0,P4,P5,M2
1168.0,P5,P5,P1
1176.0,P8,M7,-m2
1184.0,m6,P8,M3
1192.0,m3,P5,M3
1200.0,P4,P8,P5
