Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,-P4,P5,P8
8.0,-P4,P5,P8
16.0,-M2,M6,M7
24.0,P4,P8,P5
32.0,P4,P8,P5
40.0,P5,Rest,Rest
48.0,P5,P5,P1
56.0,P8,m6,-M3
64.0,m7,P5,-m3
72.0,m3,m3,P1
80.0,m3,m3,P1
88.0,Rest,Rest,Rest
96.0,M3,P5,m3
104.0,M3,P5,m3
112.0,Rest,Rest,P4
120.0,P4,P8,P5
128.0,P5,P8,P4
136.0,P4,Rest,Rest
144.0,P4,P8,P5
152.0,P4,P8,P5
160.0,Rest,Rest,Rest
168.0,P5,P5,P1
176.0,P5,P5,P1
184.0,P4,Rest,Rest
192.0,-m3,M3,P5
200.0,-m3,M3,P5
208.0,-m3,M3,P5
216.0,M3,P5,m3
224.0,M3,P5,m3
232.0,P1,Rest,Rest
240.0,P4,P8,P5
248.0,P4,P8,P5
256.0,m3,m6,P4
264.0,P5,P8,P4
272.0,m6,P8,M3
280.0,m6,m7,M2
288.0,P8,P8,P1
296.0,m7,P8,M2
304.0,Rest,Rest,M3
312.0,P4,P8,P5
320.0,P4,P8,P5
328.0,Rest,Rest,Rest
336.0,-P4,P5,P8
344.0,-P4,P5,P8
352.0,-d5,A4,P8
360.0,P1,P5,P5
368.0,P1,P5,P5
376.0,Rest,Rest,Rest
384.0,P5,P5,P1
392.0,P5,P5,P1
400.0,P5,M3,-m3
408.0,P5,m3,-M3
416.0,P5,m3,-M3
424.0,P8,Rest,Rest
432.0,m6,m6,P1
440.0,P8,P8,P1
448.0,M6,P8,m3
456.0,P4,P8,P5
464.0,P4,P8,P5
472.0,Rest,Rest,Rest
480.0,P1,P8,P8
488.0,M2,M2,P8
496.0,P4,P8,P5
504.0,P5,P5,P1
512.0,P1,P1,P1
520.0,Rest,Rest,Rest
528.0,P1,P5,P5
536.0,-m3,M3,P5
544.0,-M2,M3,A4
552.0,M3,P5,m3
560.0,M6,P8,m3
568.0,P5,Rest,Rest
576.0,P1,P5,P5
584.0,P1,P5,P5
592.0,-m2,P5,m6
600.0,-P4,P5,P8
608.0,-P4,P5,P8
616.0,Rest,Rest,Rest
624.0,P8,P8,P1
632.0,P8,P8,P1
640.0,m7,P8,M2
648.0,P4,P8,P5
656.0,P4,P8,P5
664.0,Rest,Rest,Rest
672.0,P1,P5,P5
680.0,P1,P5,P5
688.0,-M2,P5,M6
696.0,-P4,P5,P8
704.0,-P4,P5,P8
712.0,P1,Rest,Rest
720.0,P1,P5,P5
728.0,P1,P5,P5
736.0,P1,M3,M3
744.0,M3,P5,m3
752.0,M3,P5,m3
760.0,P4,Rest,Rest
768.0,P4,P8,P5
776.0,P4,P8,P5
784.0,P5,P8,P4
792.0,P5,P8,P4
800.0,m7,P8,M2
808.0,m6,Rest,Rest
816.0,P4,P8,P5
824.0,P4,P8,P5
832.0,Rest,Rest,Rest
840.0,P5,P5,P1
848.0,P1,P1,P1
856.0,P1,Rest,Rest
864.0,-m3,M3,P5
872.0,-m3,M3,P5
880.0,m3,P5,M3
888.0,P1,P5,P5
896.0,P1,P5,P5
904.0,Rest,Rest,Rest
912.0,P1,P5,P5
920.0,P1,P5,P5
928.0,-m2,P5,m6
936.0,-P4,P5,P8
944.0,-P4,P5,P8
952.0,-m2,M6,m7
960.0,P4,P8,P5
968.0,P5,P8,P4
976.0,m3,m7,P5
984.0,-P4,P5,P8
992.0,-P4,P5,P8
1000.0,Rest,Rest,Rest
1008.0,P8,P8,P1
1016.0,M7,M7,P1
1024.0,P5,M6,M2
1032.0,P4,P8,P5
1040.0,P4,P8,P5
1048.0,Rest,Rest,Rest
1056.0,P8,P8,P1
1064.0,P8,P8,P1
1072.0,Rest,M7,Rest
1080.0,M3,P5,m3
1088.0,M3,P5,m3
1096.0,P1,Rest,Rest
1104.0,P1,P5,P5
1112.0,-P5,P1,P5
1120.0,-P4,m3,m6
1128.0,-P4,P5,P8
1136.0,-P4,P5,P8
1144.0,Rest,Rest,Rest
1152.0,-P4,P5,P8
1160.0,-P4,P5,P8
1168.0,P1,P5,P5
1176.0,P5,P5,P1
1184.0,P5,P5,P1
1192.0,P4,Rest,Rest
1200.0,-m3,M3,P5
1208.0,-m3,M3,P5
1216.0,m3,P5,M3
1224.0,P4,P8,P5
1232.0,P4,P8,P5
1240.0,Rest,Rest,Rest
1248.0,P1,P5,P5
1256.0,P1,P5,P5
1264.0,Rest,Rest,m6
1272.0,-P4,P5,P8
1280.0,-P4,P5,P8
1288.0,-m3,M6,P8
1296.0,P4,P8,P5
1304.0,P5,P8,P4
1312.0,d5,m7,M3
1320.0,P4,P8,P5
