Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,-P4,P5,P8
8.0,-P5,P4,P8
16.0,Rest,P4,Rest
24.0,P1,P8,P8
32.0,P1,P5,P5
40.0,-m3,M7,M2
48.0,-m3,M3,P5
56.0,-M3,P1,M3
64.0,-P4,M3,M6
72.0,-P4,P5,P8
80.0,-P4,P5,P8
88.0,Rest,P8,Rest
96.0,P1,P5,P5
104.0,-m3,M3,P5
112.0,M2,M6,P5
120.0,P4,P8,P5
128.0,P4,P8,P5
136.0,Rest,Rest,Rest
144.0,P5,P5,P1
152.0,M6,P5,-M2
160.0,Rest,P8,Rest
168.0,P4,P8,P5
176.0,m3,P5,M3
184.0,M3,P5,m3
192.0,P1,P5,P5
200.0,P1,M6,M6
208.0,M2,M2,P8
216.0,-P4,P5,P8
224.0,-P4,P5,P8
232.0,-M2,m7,P8
240.0,-P4,P5,P8
248.0,-m6,M3,P8
256.0,-d5,Rest,Rest
264.0,P1,P1,P1
272.0,m3,P1,-m3
280.0,Rest,Rest,-P4
288.0,P8,P4,-P5
296.0,P8,P4,-P5
304.0,Rest,Rest,Rest
312.0,P5,P5,P1
320.0,P5,M6,M2
328.0,M3,P5,m3
336.0,P1,P5,P5
344.0,M2,M6,P5
352.0,-P4,Rest,Rest
360.0,-P4,P5,P8
368.0,-P4,P5,P8
376.0,Rest,Rest,m7
384.0,P1,P5,P5
392.0,P1,P4,P4
400.0,M3,M6,P4
408.0,P4,P8,P5
416.0,P4,P8,P5
424.0,Rest,P8,Rest
432.0,P8,P8,P1
440.0,P8,P8,P1
448.0,Rest,Rest,Rest
456.0,M3,M3,P1
464.0,M3,M3,P1
472.0,P4,P4,P1
480.0,P8,P5,-P4
488.0,P8,P5,-P4
496.0,Rest,d5,Rest
504.0,P4,m3,-M2
512.0,P4,P4,P1
520.0,P4,m3,-M2
528.0,-m3,M3,P5
536.0,M2,M6,P5
544.0,-P4,Rest,Rest
552.0,-P4,P5,P8
560.0,-P4,P5,P8
568.0,Rest,Rest,m7
576.0,-P5,P1,P5
584.0,-M3,m3,P5
592.0,Rest,M3,Rest
600.0,P1,P8,P8
608.0,-P4,P5,P8
616.0,-P4,P5,P8
624.0,P1,P5,P5
632.0,P1,P5,P5
640.0,m3,Rest,Rest
648.0,P5,P5,P1
656.0,P5,M6,M2
664.0,Rest,Rest,Rest
672.0,M3,P8,m6
680.0,M3,P8,m6
688.0,P1,P8,P8
696.0,P4,P8,P5
704.0,P4,P8,P5
712.0,-m2,M6,m7
720.0,-P5,P1,P5
728.0,-P5,P1,P5
736.0,Rest,Rest,Rest
744.0,-M3,P1,M3
752.0,P1,P1,P1
760.0,P1,M3,M3
768.0,P4,P8,P5
776.0,P4,P8,P5
784.0,m3,P8,M6
792.0,P5,P5,P1
800.0,P5,P5,P1
808.0,Rest,P5,Rest
816.0,-m3,M3,P5
824.0,-m3,M3,P5
832.0,-M3,Rest,Rest
840.0,-P4,P5,P8
848.0,-m3,P5,m7
856.0,-m2,P8,m2
864.0,P4,P8,P5
872.0,d5,m7,M3
880.0,Rest,Rest,m3
888.0,P1,P5,P5
896.0,-M2,m6,m7
904.0,M2,M2,P8
912.0,-P4,P5,P8
920.0,-P4,P5,P8
928.0,Rest,P4,Rest
936.0,-P5,P1,P5
944.0,-P5,P1,P5
952.0,-M6,Rest,Rest
960.0,-P4,P5,P8
968.0,-P4,P5,P8
976.0,Rest,Rest,P5
984.0,P1,P8,P8
992.0,-P5,P1,P5
1000.0,Rest,P5,Rest
1008.0,-P5,P1,P5
1016.0,-m6,-m3,P4
1024.0,-M3,P1,M3
1032.0,-M3,m3,P5
1040.0,-M3,m3,P5
1048.0,-P4,P5,P8
1056.0,-P5,P1,P5
1064.0,-m6,-m2,P5
1072.0,Rest,m2,Rest
1080.0,-P4,P5,P8
1088.0,-P4,P5,P8
1096.0,Rest,Rest,Rest
1104.0,-P4,P5,P8
1112.0,P1,P5,P5
1120.0,P1,P8,P8
1128.0,P4,P8,P5
1136.0,m3,P5,M3
1144.0,M3,P5,m3
1152.0,-m3,M3,P5
1160.0,-M3,m6,P8
1168.0,M2,P8,m7
1176.0,P4,P8,P5
1184.0,m3,m7,P5
1192.0,P4,P8,P5
1200.0,P4,P8,P5
