Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,P5,-P4,-P8
24.0,M3,-P4,-M6
48.0,P4,P1,-P4
72.0,Rest,Rest,Rest
96.0,P5,-P4,-P8
120.0,Rest,-P4,Rest
144.0,M3,-P4,-M6
168.0,-P4,-P4,P1
192.0,Rest,Rest,-P4
216.0,P4,P1,-P4
240.0,-m3,Rest,Rest
264.0,P1,-P4,-P4
288.0,Rest,-P8,Rest
312.0,-P4,-P4,P1
336.0,P1,-P4,-P4
360.0,Rest,Rest,-P4
384.0,P5,-P4,-P8
408.0,Rest,Rest,Rest
432.0,P1,-P4,-P4
456.0,-M3,-M6,-P4
480.0,-P4,-P4,P1
504.0,Rest,Rest,Rest
528.0,P1,-P4,-P4
552.0,Rest,-P4,Rest
576.0,-M3,-M6,-P4
600.0,-P4,-P4,P1
624.0,Rest,Rest,-P4
648.0,P4,P1,-P4
672.0,-P5,Rest,Rest
696.0,P1,-P4,-P4
720.0,Rest,-P8,Rest
744.0,-P4,-P4,P1
768.0,P1,-P4,-P4
792.0,P1,-P4,-P4
816.0,P5,-P4,-P8
840.0,Rest,Rest,Rest
864.0,P1,-P4,-P4
888.0,P4,P1,-P4
912.0,P5,-P4,-P8
936.0,-P5,Rest,Rest
960.0,P1,-P4,-P4
984.0,Rest,-P4,Rest
1008.0,-M3,-M6,-P4
1032.0,Rest,Rest,Rest
1056.0,P4,P1,-P4
1080.0,P4,P1,-P4
1104.0,P5,-P4,-P8
1128.0,Rest,Rest,Rest
1152.0,-P4,-P4,P1
1176.0,Rest,-P4,Rest
1200.0,-P5,-P8,-P4
1224.0,Rest,Rest,Rest
1248.0,P4,P1,-P4
1272.0,Rest,Rest,P1
1296.0,P4,P1,-P4
1320.0,Rest,Rest,Rest
1344.0,P4,P1,-P4
1368.0,-P4,-P4,P1
1392.0,-P8,-P8,P1
1416.0,Rest,Rest,Rest
1440.0,P4,P1,-P4
1464.0,Rest,P1,Rest
1488.0,-P4,-P4,P1
1512.0,Rest,Rest,Rest
1536.0,P1,-P4,-P4
1560.0,Rest,Rest,-P4
1584.0,M3,-P4,-M6
1608.0,P1,Rest,Rest
1632.0,P4,P1,-P4
1656.0,Rest,-P4,Rest
1680.0,-P5,-P8,-P4
1704.0,Rest,Rest,Rest
1728.0,P4,P1,-P4
1752.0,Rest,Rest,P1
1776.0,P1,-P4,-P4
1800.0,Rest,Rest,Rest
1824.0,-P4,-P4,P1
1848.0,Rest,P1,Rest
1872.0,-P4,-P4,P1
1896.0,Rest,Rest,Rest
1920.0,P4,P1,-P4
1944.0,-P4,-P4,P1
1968.0,P5,-P4,-P8
1992.0,Rest,Rest,Rest
2016.0,-P5,-P8,-P4
2040.0,-P4,-P4,P1
2064.0,P5,-P4,-P8
2088.0,P1,-P4,-P4
2112.0,-P4,-P4,P1
2136.0,-P4,-P4,P1
2160.0,m3,-P4,-m6
2184.0,P5,-P4,-P8
2208.0,P1,-P4,-P4
2232.0,m3,-P4,-m6
2256.0,P5,-P4,-P8
2280.0,P1,-P4,-P4
2304.0,P1,P1,P1
2328.0,P4,P1,-P4
2352.0,P1,P1,P1
2376.0,-P4,-P4,P1
2400.0,P1,-P4,-P4
2424.0,P4,P1,-P4
2448.0,P1,-P4,-P4
2472.0,-P5,-P8,-P4
2496.0,P1,-P4,-P4
2520.0,M3,-P4,-M6
2544.0,P5,-P4,-P8
2568.0,P4,P1,-P4
